authority_identifier,authority_name
ada_cty_mn,Ada
adams_cty_mn,Adams
adrian_cty_mn,Adrian
afton_cty_mn,Afton
aitkin_cty_mn,Aitkin
akeley_cty_mn,Akeley
albany_cty_mn,Albany
albert-lea_cty_mn,Albert Lea
alberta_cty_mn,Alberta
albertville_cty_mn,Albertville
alden_cty_mn,Alden
aldrich_cty_mn,Aldrich
alexandria_cty_mn,Alexandria
alpha_cty_mn,Alpha
altura_cty_mn,Altura
alvarado_cty_mn,Alvarado
amboy_cty_mn,Amboy
andover_cty_mn,Andover
annandale_cty_mn,Annandale
anoka_cty_mn,Anoka
apple-valley_cty_mn,Apple Valley
appleton_cty_mn,Appleton
arco_cty_mn,Arco
arden-hills_cty_mn,Arden Hills
argyle_cty_mn,Argyle
arlington_cty_mn,Arlington
ashby_cty_mn,Ashby
askov_cty_mn,Askov
atwater_cty_mn,Atwater
audubon_cty_mn,Audubon
aurora_cty_mn,Aurora
austin_cty_mn,Austin
avoca_cty_mn,Avoca
avon_cty_mn,Avon
babbitt_cty_mn,Babbitt
backus_cty_mn,Backus
badger_cty_mn,Badger
bagley_cty_mn,Bagley
balaton_cty_mn,Balaton
barnesville_cty_mn,Barnesville
barnum_cty_mn,Barnum
barrett_cty_mn,Barrett
barry_cty_mn,Barry
battle-lake_cty_mn,Battle Lake
baudette_cty_mn,Baudette
baxter_cty_mn,Baxter
bayport_cty_mn,Bayport
beardsley_cty_mn,Beardsley
beaver-bay_cty_mn,Beaver Bay
beaver-creek_cty_mn,Beaver Creek
becker_cty_mn,Becker
bejou_cty_mn,Bejou
belgrade_cty_mn,Belgrade
belle-plaine_cty_mn,Belle Plaine
bellechester_cty_mn,Bellechester
bellingham_cty_mn,Bellingham
beltrami_cty_mn,Beltrami
belview_cty_mn,Belview
bemidji_cty_mn,Bemidji
bena_cty_mn,Bena
benson_cty_mn,Benson
bertha_cty_mn,Bertha
bethel_cty_mn,Bethel
big-falls_cty_mn,Big Falls
big-lake_cty_mn,Big Lake
bigelow_cty_mn,Bigelow
bigfork_cty_mn,Bigfork
bingham-lake_cty_mn,Bingham Lake
birchwood-village_cty_mn,Birchwood Village
bird-island_cty_mn,Bird Island
biscay_cty_mn,Biscay
biwabik_cty_mn,Biwabik
blackduck_cty_mn,Blackduck
blaine_cty_mn,Blaine
blomkest_cty_mn,Blomkest
blooming-prairie_cty_mn,Blooming Prairie
bloomington_cty_mn,Bloomington
blue-earth_cty_mn,Blue Earth
bluffton_cty_mn,Bluffton
bock_cty_mn,Bock
borup_cty_mn,Borup
bovey_cty_mn,Bovey
bowlus_cty_mn,Bowlus
boy-river_cty_mn,Boy River
boyd_cty_mn,Boyd
braham_cty_mn,Braham
brainerd_cty_mn,Brainerd
brandon_cty_mn,Brandon
breckenridge_cty_mn,Breckenridge
breezy-point_cty_mn,Breezy Point
brewster_cty_mn,Brewster
bricelyn_cty_mn,Bricelyn
brook-park_cty_mn,Brook Park
brooklyn-center_cty_mn,Brooklyn Center
brooklyn-park_cty_mn,Brooklyn Park
brooks_cty_mn,Brooks
brookston_cty_mn,Brookston
brooten_cty_mn,Brooten
browerville_cty_mn,Browerville
browns-valley_cty_mn,Browns Valley
brownsdale_cty_mn,Brownsdale
brownsville_cty_mn,Brownsville
brownton_cty_mn,Brownton
bruno_cty_mn,Bruno
buckman_cty_mn,Buckman
buffalo_cty_mn,Buffalo
buffalo-lake_cty_mn,Buffalo Lake
buhl_cty_mn,Buhl
burnsville_cty_mn,Burnsville
burtrum_cty_mn,Burtrum
butterfield_cty_mn,Butterfield
byron_cty_mn,Byron
caledonia_cty_mn,Caledonia
callaway_cty_mn,Callaway
calumet_cty_mn,Calumet
cambridge_cty_mn,Cambridge
campbell_cty_mn,Campbell
canby_cty_mn,Canby
cannon-falls_cty_mn,Cannon Falls
canton_cty_mn,Canton
carlos_cty_mn,Carlos
carlton_cty_mn,Carlton
carver_cty_mn,Carver
cass-lake_cty_mn,Cass Lake
cedar-mills_cty_mn,Cedar Mills
center-city_cty_mn,Center City
centerville_cty_mn,Centerville
ceylon_cty_mn,Ceylon
champlin_cty_mn,Champlin
chandler_cty_mn,Chandler
chanhassen_cty_mn,Chanhassen
chaska_cty_mn,Chaska
chatfield_cty_mn,Chatfield
chickamaw-beach_cty_mn,Chickamaw Beach
chisago-city_cty_mn,Chisago City
chisholm_cty_mn,Chisholm
chokio_cty_mn,Chokio
circle-pines_cty_mn,Circle Pines
clara-city_cty_mn,Clara City
claremont_cty_mn,Claremont
clarissa_cty_mn,Clarissa
clarkfield_cty_mn,Clarkfield
clarks-grove_cty_mn,Clarks Grove
clear-lake_cty_mn,Clear Lake
clearbrook_cty_mn,Clearbrook
clearwater_cty_mn,Clearwater
clements_cty_mn,Clements
cleveland_cty_mn,Cleveland
climax_cty_mn,Climax
clinton_cty_mn,Clinton
clitherall_cty_mn,Clitherall
clontarf_cty_mn,Clontarf
cloquet_cty_mn,Cloquet
coates_cty_mn,Coates
cobden_cty_mn,Cobden
cohasset_cty_mn,Cohasset
cokato_cty_mn,Cokato
cold-spring_cty_mn,Cold Spring
coleraine_cty_mn,Coleraine
cologne_cty_mn,Cologne
columbia-heights_cty_mn,Columbia Heights
columbus_cty_mn,Columbus
comfrey_cty_mn,Comfrey
comstock_cty_mn,Comstock
conger_cty_mn,Conger
cook_cty_mn,Cook
coon-rapids_cty_mn,Coon Rapids
corcoran_cty_mn,Corcoran
correll_cty_mn,Correll
cosmos_cty_mn,Cosmos
cottage-grove_cty_mn,Cottage Grove
cottonwood_cty_mn,Cottonwood
courtland_cty_mn,Courtland
cromwell_cty_mn,Cromwell
crookston_cty_mn,Crookston
crosby_cty_mn,Crosby
crosslake_cty_mn,Crosslake
crystal_cty_mn,Crystal
currie_cty_mn,Currie
cuyuna_cty_mn,Cuyuna
cyrus_cty_mn,Cyrus
dakota_cty_mn,Dakota
dalton_cty_mn,Dalton
danube_cty_mn,Danube
danvers_cty_mn,Danvers
darfur_cty_mn,Darfur
darwin_cty_mn,Darwin
dassel_cty_mn,Dassel
dawson_cty_mn,Dawson
dayton_cty_mn,Dayton
de-graff_cty_mn,De Graff
deephaven_cty_mn,Deephaven
deer-creek_cty_mn,Deer Creek
deer-river_cty_mn,Deer River
deerwood_cty_mn,Deerwood
delano_cty_mn,Delano
delavan_cty_mn,Delavan
delhi_cty_mn,Delhi
dellwood_cty_mn,Dellwood
denham_cty_mn,Denham
dennison_cty_mn,Dennison
dent_cty_mn,Dent
detroit-lakes_cty_mn,Detroit Lakes
dexter_cty_mn,Dexter
dilworth_cty_mn,Dilworth
dodge-center_cty_mn,Dodge Center
donaldson_cty_mn,Donaldson
donnelly_cty_mn,Donnelly
doran_cty_mn,Doran
dover_cty_mn,Dover
dovray_cty_mn,Dovray
duluth_cty_mn,Duluth
dumont_cty_mn,Dumont
dundas_cty_mn,Dundas
dundee_cty_mn,Dundee
dunnell_cty_mn,Dunnell
eagan_cty_mn,Eagan
eagle-bend_cty_mn,Eagle Bend
eagle-lake_cty_mn,Eagle Lake
east-bethel_cty_mn,East Bethel
east-grand-forks_cty_mn,East Grand Forks
east-gull-lake_cty_mn,East Gull Lake
easton_cty_mn,Easton
echo_cty_mn,Echo
eden-prairie_cty_mn,Eden Prairie
eden-valley_cty_mn,Eden Valley
edgerton_cty_mn,Edgerton
edina_cty_mn,Edina
effie_cty_mn,Effie
eitzen_cty_mn,Eitzen
elba_cty_mn,Elba
elbow-lake_cty_mn,Elbow Lake
elgin_cty_mn,Elgin
elizabeth_cty_mn,Elizabeth
elk-river_cty_mn,Elk River
elko-new-market_cty_mn,Elko New Market
elkton_cty_mn,Elkton
ellendale_cty_mn,Ellendale
ellsworth_cty_mn,Ellsworth
elmdale_cty_mn,Elmdale
elmore_cty_mn,Elmore
elrosa_cty_mn,Elrosa
ely_cty_mn,Ely
elysian_cty_mn,Elysian
emily_cty_mn,Emily
emmons_cty_mn,Emmons
erhard_cty_mn,Erhard
erskine_cty_mn,Erskine
evan_cty_mn,Evan
evansville_cty_mn,Evansville
eveleth_cty_mn,Eveleth
excelsior_cty_mn,Excelsior
eyota_cty_mn,Eyota
fairfax_cty_mn,Fairfax
fairmont_cty_mn,Fairmont
falcon-heights_cty_mn,Falcon Heights
faribault_cty_mn,Faribault
farmington_cty_mn,Farmington
farwell_cty_mn,Farwell
federal-dam_cty_mn,Federal Dam
felton_cty_mn,Felton
fergus-falls_cty_mn,Fergus Falls
fertile_cty_mn,Fertile
fifty-lakes_cty_mn,Fifty Lakes
finlayson_cty_mn,Finlayson
fisher_cty_mn,Fisher
flensburg_cty_mn,Flensburg
floodwood_cty_mn,Floodwood
florence_cty_mn,Florence
foley_cty_mn,Foley
forada_cty_mn,Forada
forest-lake_cty_mn,Forest Lake
foreston_cty_mn,Foreston
fort-ripley_cty_mn,Fort Ripley
fosston_cty_mn,Fosston
fountain_cty_mn,Fountain
foxhome_cty_mn,Foxhome
franklin_cty_mn,Franklin
frazee_cty_mn,Frazee
freeborn_cty_mn,Freeborn
freeport_cty_mn,Freeport
fridley_cty_mn,Fridley
frost_cty_mn,Frost
fulda_cty_mn,Fulda
funkley_cty_mn,Funkley
garfield_cty_mn,Garfield
garrison_cty_mn,Garrison
garvin_cty_mn,Garvin
gary_cty_mn,Gary
gaylord_cty_mn,Gaylord
gem-lake_cty_mn,Gem Lake
geneva_cty_mn,Geneva
genola_cty_mn,Genola
georgetown_cty_mn,Georgetown
ghent_cty_mn,Ghent
gibbon_cty_mn,Gibbon
gilbert_cty_mn,Gilbert
gilman_cty_mn,Gilman
glencoe_cty_mn,Glencoe
glenville_cty_mn,Glenville
glenwood_cty_mn,Glenwood
glyndon_cty_mn,Glyndon
golden-valley_cty_mn,Golden Valley
gonvick_cty_mn,Gonvick
good-thunder_cty_mn,Good Thunder
goodhue_cty_mn,Goodhue
goodridge_cty_mn,Goodridge
goodview_cty_mn,Goodview
graceville_cty_mn,Graceville
granada_cty_mn,Granada
grand-marais_cty_mn,Grand Marais
grand-meadow_cty_mn,Grand Meadow
grand-rapids_cty_mn,Grand Rapids
granite-falls_cty_mn,Granite Falls
grant_cty_mn,Grant
grasston_cty_mn,Grasston
green-isle_cty_mn,Green Isle
greenbush_cty_mn,Greenbush
greenfield_cty_mn,Greenfield
greenwald_cty_mn,Greenwald
greenwood_cty_mn,Greenwood
grey-eagle_cty_mn,Grey Eagle
grove-city_cty_mn,Grove City
grygla_cty_mn,Grygla
gully_cty_mn,Gully
hackensack_cty_mn,Hackensack
hadley_cty_mn,Hadley
hallock_cty_mn,Hallock
halma_cty_mn,Halma
halstad_cty_mn,Halstad
ham-lake_cty_mn,Ham Lake
hamburg_cty_mn,Hamburg
hammond_cty_mn,Hammond
hampton_cty_mn,Hampton
hancock_cty_mn,Hancock
hanley-falls_cty_mn,Hanley Falls
hanover_cty_mn,Hanover
hanska_cty_mn,Hanska
harding_cty_mn,Harding
hardwick_cty_mn,Hardwick
harmony_cty_mn,Harmony
harris_cty_mn,Harris
hartland_cty_mn,Hartland
hastings_cty_mn,Hastings
hatfield_cty_mn,Hatfield
hawley_cty_mn,Hawley
hayfield_cty_mn,Hayfield
hayward_cty_mn,Hayward
hazel-run_cty_mn,Hazel Run
hector_cty_mn,Hector
heidelberg_cty_mn,Heidelberg
henderson_cty_mn,Henderson
hendricks_cty_mn,Hendricks
hendrum_cty_mn,Hendrum
henning_cty_mn,Henning
henriette_cty_mn,Henriette
herman_cty_mn,Herman
hermantown_cty_mn,Hermantown
heron-lake_cty_mn,Heron Lake
hewitt_cty_mn,Hewitt
hibbing_cty_mn,Hibbing
hill-city_cty_mn,Hill City
hillman_cty_mn,Hillman
hills_cty_mn,Hills
hilltop_cty_mn,Hilltop
hinckley_cty_mn,Hinckley
hitterdal_cty_mn,Hitterdal
hoffman_cty_mn,Hoffman
hokah_cty_mn,Hokah
holdingford_cty_mn,Holdingford
holland_cty_mn,Holland
hollandale_cty_mn,Hollandale
holloway_cty_mn,Holloway
holt_cty_mn,Holt
hopkins_cty_mn,Hopkins
houston_cty_mn,Houston
howard-lake_cty_mn,Howard Lake
hoyt-lakes_cty_mn,Hoyt Lakes
hugo_cty_mn,Hugo
humboldt_cty_mn,Humboldt
hutchinson_cty_mn,Hutchinson
ihlen_cty_mn,Ihlen
independence_cty_mn,Independence
international-falls_cty_mn,International Falls
inver-grove-heights_cty_mn,Inver Grove Heights
iona_cty_mn,Iona
iron-junction_cty_mn,Iron Junction
ironton_cty_mn,Ironton
isanti_cty_mn,Isanti
isle_cty_mn,Isle
ivanhoe_cty_mn,Ivanhoe
jackson_cty_mn,Jackson
janesville_cty_mn,Janesville
jasper_cty_mn,Jasper
jeffers_cty_mn,Jeffers
jenkins_cty_mn,Jenkins
johnson_cty_mn,Johnson
jordan_cty_mn,Jordan
kandiyohi_cty_mn,Kandiyohi
karlstad_cty_mn,Karlstad
kasota_cty_mn,Kasota
kasson_cty_mn,Kasson
keewatin_cty_mn,Keewatin
kelliher_cty_mn,Kelliher
kellogg_cty_mn,Kellogg
kennedy_cty_mn,Kennedy
kenneth_cty_mn,Kenneth
kensington_cty_mn,Kensington
kent_cty_mn,Kent
kenyon_cty_mn,Kenyon
kerkhoven_cty_mn,Kerkhoven
kerrick_cty_mn,Kerrick
kettle-river_cty_mn,Kettle River
kiester_cty_mn,Kiester
kilkenny_cty_mn,Kilkenny
kimball_cty_mn,Kimball
kinbrae_cty_mn,Kinbrae
kingston_cty_mn,Kingston
kinney_cty_mn,Kinney
la-crescent_cty_mn,La Crescent
la-prairie_cty_mn,La Prairie
la-salle_cty_mn,La Salle
lafayette_cty_mn,Lafayette
lake-benton_cty_mn,Lake Benton
lake-bronson_cty_mn,Lake Bronson
lake-city_cty_mn,Lake City
lake-crystal_cty_mn,Lake Crystal
lake-elmo_cty_mn,Lake Elmo
lake-henry_cty_mn,Lake Henry
lake-lillian_cty_mn,Lake Lillian
lake-park_cty_mn,Lake Park
lake-saint-croix-beach_cty_mn,Lake Saint Croix Beach
lake-shore_cty_mn,Lake Shore
lake-wilson_cty_mn,Lake Wilson
lakefield_cty_mn,Lakefield
lakeland_cty_mn,Lakeland
