authority_identifier, authority_name
aitkin_cou_mn ,Aitkin County 
anoka_cou_mn,Anoka County 
becker_cou_mn,Becker County
beltrami_cou_mn,Beltrami County
benton_cou_mn,Benton County 
big-stone_cou_mn,Big Stone County
blue-earth_cou_mn,Blue Earth County
brown_cou_mn,Brown County
carlton_cou_mn,Carlton County
carver_cou_mn,Carver County
cass_cou_mn,Cass County
chippewa_cou_mn,Chippewa County
chisago_cou_mn,Chisago County
clay_cou_mn,Clay County 
clearwater_cou_mn,Clearwater County
cook_cou_mn,Cook County
cottonwood_cou_mn,Cottonwood County
crow-wing_cou_mn,Crow Wing County
dakota_cou_mn,Dakota County
dodge_cou_mn,Dodge County
douglas_cou_mn,Douglas County
faribault_cou_mn,Faribault County
fillmore_cou_mn,Fillmore County
freeborn_cou_mn,Freeborn County
goodhue_cou_mn,Goodhue County 
grant_cou_mn,Grant County
hennepin_cou_mn,Hennepin County
houston_cou_mn,Houston County
hubbard_cou_mn,Hubbard County
isanti_cou_mn,Isanti County 
itasca_cou_mn,Itasca County
jackson_cou_mn,Jackson County
kanabec_cou_mn,Kanabec County
kandiyohi_cou_mn,Kandiyohi County
kittson_cou_mn,Kittson County
koochiching_cou_mn,Koochiching County
lac-qui-parle_cou_mn,Lac qui Parle County
lake_cou_mn,Lake County
lake-of-the-woods_cou_mn,Lake of the Woods County
le-sueur_cou_mn,Le Sueur County
lincoln_cou_mn,Lincoln County
lyon_cou_mn,Lyon County
mcleod_cou_mn,McLeod County
mahnomen_cou_mn,Mahnomen County
marshall_cou_mn,Marshall County
martin_cou_mn,Martin County
meeker_cou_mn,Meeker County
mille-lacs_cou_mn,Mille Lacs County
morrison_cou_mn,Morrison County
mower_cou_mn,Mower County
murray_cou_mn,Murray County
nicollet_cou_mn,Nicollet County
nobles_cou_mn,Nobles County
norman_cou_mn,Norman County
olmsted_cou_mn,Olmsted County
otter-tail_cou_mn,Otter Tail County
pennington_cou_mn,Pennington County
pine_cou_mn,Pine County
pipestone_cou_mn,Pipestone County
polk_cou_mn,Polk County
pope_cou_mn,Pope County
ramsey_cou_mn,Ramsey County
red-lake_cou_mn,Red Lake County
redwood_cou_mn,Redwood County
renville_cou_mn,Renville County
rice_cou_mn,Rice County
rock_cou_mn,Rock County 
roseau_cou_mn,Roseau County
saint-louis_cou_mn,Saint Louis County
scott_cou_mn,Scott County
sherburne_cou_mn,Sherburne County
sibley_cou_mn,Sibley County
stearns_cou_mn,Stearns County
steele_cou_mn,Steele County
stevens_cou_mn,Stevens County
swift_cou_mn,Swift County
todd_cou_mn,Todd County
traverse_cou_mn,Traverse County
wabasha_cou_mn,Wabasha County
wadena_cou_mn,Wadena County
waseca_cou_mn,Waseca County
washington_cou_mn,Washington County
watonwan_cou_mn,Watonwan County
wilkin_cou_mn,Wilkin County
winona_cou_mn,Winona County
wright_cou_mn,Wright County
yellow-medicine_cou_mn,Yellow Medicine County